Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,GBDIER,2,1,G000720,8,Catharina De Schauwer|Catherine Delesalle|Miel Hostens|Bart Pardon,comparatieve fysiologie en pathofysiologie|basisbegrippen fysiologie|algemene begrippen gerelateerd aan groei & regeneratieve fysiologie|groei van been-en kraakbeenweefsel|groei van vetweefsel|groei van spierweefsel|bloed en bloedvormende organen|ademhalingstelsel|nier en urinewegen|voortplantingstelsel.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen|participatie|werkstuk|gedragsevaluatie op de werkvloer
BACH,GBDIER,2,1,G000721,5,Luc Peelman,erfelijkheid|huisdieren|genoom|stambomen|gentechnologie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,GBDIER,2,1,G000722,5,Pieter Cornillie,topografie|klinische anatomie|grote huisdieren|paard|rund|varken,periodegebonden|niet-periodegebonden,mondeling examen|vaardigheidstest,mondeling examen|vaardigheidstest,participatie
BACH,GBDIER,2,1,G000741,8,Wim Van Den Broeck,microscopische anatomie|structuur-functie relatie,periodegebonden|niet-periodegebonden,mondeling examen|vaardigheidstest,mondeling examen|vaardigheidstest,participatie|vaardigheidstest
BACH,GBDIER,2,2,G000723,3,Evelyne Meyer,bijzondere biochemie|huisdieren.,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,2,2,G000724,8,Catherine Delesalle|Sylvie Daminet|Catharina De Schauwer|Miel Hostens|Luc Leybaert|Bart Pardon,comparatieve fysiologie en pathofysiologie|diersoort overschrijdend|de waterbalans|hormonen binnen en buiten de hypothalamo-hypofysaire axis|endocrinologie|metabolisme|bloed onderzoek|cardiovasculaire fysiologie|fysiologie van het zenuwstelsel|fysiologie van het spijsverteringsstelsel|huid en integument|thermoregulatie|carcinogene processen|fysiologie op bedrijfsniveau.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen|participatie|werkstuk|gedragsevaluatie op de werkvloer
BACH,GBDIER,2,2,G000725,6,Pieter Cornillie|Ward De Spiegelaere|Wim Van Den Broeck,topografie|klinische anatomie|kleine huisdieren|hond|kat|konijn|proefdieren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|vaardigheidstest
BACH,GBDIER,2,2,G000726,3,Kurt Houf|Dominiek Maes|Geert Opsomer,volksgezondheid|voedselveiligheid|gevaren en risico's|riek tot vork|voedselproductie|kwaliteitssystemen|controle|dierenwelzijn,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,2,2,G000727,5,Lynn Vanhaecke|Lieselot Hemeryck,voedsel|milieu|chemie|analyse|method,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|verslag
BACH,GBDIER,2,J,G000728,3,Annelies Decloedt|Koen Chiers|Evelyne Meyer|Christel Moons|Machteld van Dierendonck,klinische vaardigheden|basis labotechnieken|omgaan met en hanteren van individueel gehouden dieren|communicatie,niet-periodegebonden,,,participatie|vaardigheidstest
BACH,GBDIER,3,1,G000729,3,Ann Martens,heelkunde|asepsie|wondheling|huisdieren,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|schriftelijk examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|schriftelijk examen,
BACH,GBDIER,3,1,G000730,8,Annemie Decostere|Koen Chiers,pathologie|macroscopisch|microscopisch|pathogenese,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest
BACH,GBDIER,3,1,G000731,5,Filip Van Immerseel|Filip Boyen|Freddy Haesebrouck,algemene diergeneeskundige bacteriologie|bijzondere diergeneeskundige bacteriologie|diergeneeskundige mycologie,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,gedragsevaluatie op de werkvloer|verslag
BACH,GBDIER,3,1,G000732,5,Herman Favoreel|Bert Devriendt|Edith Stuyven,immunologie|humoraal|cellulair|antistoffen|cytotoxiciteit|lymfocyten|cytokines|varken|rund|paard|hond|kat|pluimvee,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen,schriftelijk examen met open vragen|schriftelijk examen,participatie|verslag
BACH,GBDIER,3,1,G000733,4,Peter Geldhof,parasiet|biologie|dier,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,GBDIER,3,1,G000734,3,Siska Croubels|Mathias Devreese,geneesmiddelendispositie|farmacokinetiek|farmacodynamiek,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,3,2,G000735,4,Kristien Van Reeth,virussen van dier en mens|virus eigenschappen en classificatie|pathogenese|diagnostiek|antivirale vaccins|antivirale geneesmiddelen,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,3,2,G000736,4,Jimmy Saunders|Hendrik Bergman|Annemie Van Caelenberg|Els Raes|Emmelie Stock|Katrien Vanderperren|Bernadette Van Ryssen,abdomen - huisdieren - kunstmatige intelligentie - medische beeldvorming - musculoskeletaal - radiografische anatomie - thorax,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,3,2,G000737,6,Geert Janssens|Myriam Hesta|Sam Millet,voeding|dieren,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,3,2,G000738,6,Christel Moons|Tiny De Keuster|Sarne De Vliegher|Jeroen Dewulf|Dominiek Maes|Frank Tuyttens|Machteld van Dierendonck|Filip Van Immerseel,diergedrag|dierenwelzijn|dierhygiëne|desinfectie|reiniging|diergezondheid|huisvesting,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,werkstuk
BACH,GBDIER,3,2,G000739,5,Kurt Houf|Sarah Gabriël,"primaire-|transformatie en distributie fase|eetwaren|productkennis|dierenwelzijn in de productiefase|voedselverwerking,  microbiologie|technologie|biologische gevaren voor studenten enkel ingeschreven voor een creditdoelcontract|is inschrijving enkel mogelijk na het voldoen aan de eindcompetenties van de eerste bachelor.",periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
BACH,GBDIER,3,J,G000740,3,Annelies Decloedt|Pieter Cornillie|Hilde De Rooster|Ann Martens|Dominique Paepe,"klinische vaardigheden|hanteren van koppelgehouden dieren|lichamelijk onderzoek|injecties|chirurgie, communicatie",niet-periodegebonden,,,participatie|vaardigheidstest
MABA,GMDIERGD,1,1,G000219,5,Frank Pasmans|Chloë De Witte|Freddy Haesebrouck,bacteriële ziekten|zoönosen|huisdieren,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
MABA,GMDIERGD,1,1,G000238,5,Hans Nauwynck,virale ziekten|prionziekten|zoönosen|epizoötiologie|pathogenese|immuniteit|pathology|kliniek|diagnose|vaccinatie,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERGD,1,1,G000742,3,Eric Cox,immunopathologie|huisdieren|nutsdieren|overgevoeligheidsreacties|autoimmuunziekten|immunodeficiënties|immunomodulatie|transplantatie. onderzoek en valorisatie|wetenschappelijke integriteit|internationalisatie|multidisciplinariteit|maatschappelijke relevantie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,
MABA,GMDIERGD,1,1,G000747,5,Mathias Devreese|Siska Croubels,farmacologie|geneesmiddelenklassen|wetgeving geneesmiddelendepot|voorschriftenleer,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERGD,1,2,G000748,4,Siska Croubels|Gunther Antonissen,giftige planten|zware metalen|milieu- en voedsel/voedercontaminanten|giftige gassen|mycotoxines|insecticiden|pesticiden|herbiciden|diverse organische en anorganische gifstoffen|giftige voedingsmiddelen,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
MABA,GMDIERGD,1,2,G000749,5,Sarah Gabriël|Lynn Vanhaecke,chemische gevaren|keuring|controle|levensmiddelenhygiëne|levensmiddelenwetgeving|auditing|autocontrole|kwaliteitssystemen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|werkstuk|gedragsevaluatie op de werkvloer|verslag
MABA,GMDIERGD,1,2,G000750,5,Luc Peelman|Bart Broeckx,"erfelijke aandoeningen|erfelijkheidsgraad|fokwaarde|selectie,  fokadvies",periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
MABA,GMDIERGD,1,J,G000008,5,Edwin Claerebout|Pierre Dorny|Bruno Levecke|Hilde Van Meirhaeghe,parasitaire ziekten|dieren|epidemiologie|pathologie|diagnose|behandeling|controle|zoönosen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|gedragsevaluatie op de werkvloer
MABA,GMDIERGD,1,J,G000743,5,Ingeborgh Polis|Eveline Capiau|Sylvie Daminet|Tiny De Keuster|Hilde De Rooster|Dominique Paepe|Pascale Smets|Isabel Van de Maele|Sophie Vandenabeele|Luc Van Ham|Bernadette Van Ryssen|Ann Van Soom|Leen Verhaert,algemeen onderzoek|hond & kat|klinisch lichamelijk onderzoek,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERGD,1,J,G000744,4,Bart Pardon|Annelies Decloedt|Jan Govaere|Geert Opsomer|Gunther van Loon,klinisch onderzoek|grote huisdieren|bloedonderzoek|bemonsteringstechnieken,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERGD,1,J,G000745,3,Annelies Decloedt|Ann Martens|Dominique Paepe|Yves Samoy,klinische vaardigheden|klinisch onderzoek|verbanden en spalken|communicatie,niet-periodegebonden,,,participatie|vaardigheidstest
MABA,GMDIERGD,1,J,G000746,5,Ann Martens|Frank Gasthuys|Maarten Oosterlinck|Frederik Pille|Stijn Schauvliege|Lieven Vlaminck,heelkunde|huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|vaardigheidstest
MABA,GMDIERGD,1,J,G000751,6,Koen Chiers|Leen Van Brantegem,orgaanpathologie|macroscopie|microscopie|pathogenese,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie
MABA,GMDIERGD,2,1,G000752,6,Hilde De Rooster|Frank Gasthuys|Ann Martens|Frederik Pille|Ingeborgh Polis|Bernadette Van Ryssen|Lieven Vlaminck,heelkunde|anesthesie|orthopedie|weke delen chirurgie|huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERGD,2,1,G000753,5,Sylvie Daminet|Sofie Bhatti|Koen Chiers|Myriam Hesta|Dominique Paepe|Pascale Smets|Leen Van Brantegem|Isabel Van de Maele|Sophie Vandenabeele|Luc Van Ham|Ann Van Soom,inwendige ziekten|gezelschapsdieren|hond|kat,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen,participatie|vaardigheidstest
MABA,GMDIERGD,2,1,G000754,4,Gunther van Loon|Koen Chiers|Laurence Lefère|Bart Pardon|Leen Van Brantegem,inwendige ziekten|grote huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest
MABA,GMDIERGD,2,1,G000755,4,Geert Opsomer|Peter Daels|Jan Govaere|Dominiek Maes,voortplanting|verloskunde|grote huisdieren.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERGD,2,1,G000756,4,Sarne De Vliegher|Piet Vanthemsche,"(beroeps)aansprakelijkheid|dierengezondheid|dierenwelzijn|epidemiologische bewaking|(gerechtelijke) expertise|gerechtelijke organisatie|handel in dieren|identificatie en registratie van dieren|orde der dierenartsen|plichtenleer|tuchtrecht|beroepsethiek|ethiek|proefdier|voedselveiligheid|zoönose|diergeneesmiddel|tariefbepaling|boekhouding|swot-analyse|businessplan|balans|resultatenrekening|btw,",periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,
MABA,GMDIERGD,2,1,G000757,4,An Garmyn|Kris Baert|Gunther Antonissen|Tom Hellebuyck|Katleen Hermans,infectieuze en niet-infectieuze ziekten|vogels|bijzondere dieren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|gedragsevaluatie op de werkvloer
MABA,GMDIERGD,2,1,G000758,3,Annelies Decloedt|Peter Daels|Hilde De Rooster|Jan Govaere|Geert Opsomer|Ingeborgh Polis|Stijn Schauvliege|Katrien Vanderperren|Lieven Vlaminck,klinische vaardigheden|anesthesie|chirurgie|medische beeldvorming|communicatie,niet-periodegebonden,,,participatie|vaardigheidstest
MABA,GMDIERHK,1,1,G000219,5,Frank Pasmans|Chloë De Witte|Freddy Haesebrouck,bacteriële ziekten|zoönosen|huisdieren,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
MABA,GMDIERHK,1,1,G000238,5,Hans Nauwynck,virale ziekten|prionziekten|zoönosen|epizoötiologie|pathogenese|immuniteit|pathology|kliniek|diagnose|vaccinatie,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERHK,1,1,G000742,3,Eric Cox,immunopathologie|huisdieren|nutsdieren|overgevoeligheidsreacties|autoimmuunziekten|immunodeficiënties|immunomodulatie|transplantatie. onderzoek en valorisatie|wetenschappelijke integriteit|internationalisatie|multidisciplinariteit|maatschappelijke relevantie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,
MABA,GMDIERHK,1,1,G000747,5,Mathias Devreese|Siska Croubels,farmacologie|geneesmiddelenklassen|wetgeving geneesmiddelendepot|voorschriftenleer,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERHK,1,2,G000748,4,Siska Croubels|Gunther Antonissen,giftige planten|zware metalen|milieu- en voedsel/voedercontaminanten|giftige gassen|mycotoxines|insecticiden|pesticiden|herbiciden|diverse organische en anorganische gifstoffen|giftige voedingsmiddelen,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
MABA,GMDIERHK,1,2,G000749,5,Sarah Gabriël|Lynn Vanhaecke,chemische gevaren|keuring|controle|levensmiddelenhygiëne|levensmiddelenwetgeving|auditing|autocontrole|kwaliteitssystemen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|werkstuk|gedragsevaluatie op de werkvloer|verslag
MABA,GMDIERHK,1,2,G000750,5,Luc Peelman|Bart Broeckx,"erfelijke aandoeningen|erfelijkheidsgraad|fokwaarde|selectie,  fokadvies",periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
MABA,GMDIERHK,1,J,G000008,5,Edwin Claerebout|Pierre Dorny|Bruno Levecke|Hilde Van Meirhaeghe,parasitaire ziekten|dieren|epidemiologie|pathologie|diagnose|behandeling|controle|zoönosen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|gedragsevaluatie op de werkvloer
MABA,GMDIERHK,1,J,G000743,5,Ingeborgh Polis|Eveline Capiau|Sylvie Daminet|Tiny De Keuster|Hilde De Rooster|Dominique Paepe|Pascale Smets|Isabel Van de Maele|Sophie Vandenabeele|Luc Van Ham|Bernadette Van Ryssen|Ann Van Soom|Leen Verhaert,algemeen onderzoek|hond & kat|klinisch lichamelijk onderzoek,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERHK,1,J,G000744,4,Bart Pardon|Annelies Decloedt|Jan Govaere|Geert Opsomer|Gunther van Loon,klinisch onderzoek|grote huisdieren|bloedonderzoek|bemonsteringstechnieken,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERHK,1,J,G000745,3,Annelies Decloedt|Ann Martens|Dominique Paepe|Yves Samoy,klinische vaardigheden|klinisch onderzoek|verbanden en spalken|communicatie,niet-periodegebonden,,,participatie|vaardigheidstest
MABA,GMDIERHK,1,J,G000746,5,Ann Martens|Frank Gasthuys|Maarten Oosterlinck|Frederik Pille|Stijn Schauvliege|Lieven Vlaminck,heelkunde|huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,participatie|vaardigheidstest
MABA,GMDIERHK,1,J,G000751,6,Koen Chiers|Leen Van Brantegem,orgaanpathologie|macroscopie|microscopie|pathogenese,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie
MABA,GMDIERHK,2,1,G000752,6,Hilde De Rooster|Frank Gasthuys|Ann Martens|Frederik Pille|Ingeborgh Polis|Bernadette Van Ryssen|Lieven Vlaminck,heelkunde|anesthesie|orthopedie|weke delen chirurgie|huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERHK,2,1,G000753,5,Sylvie Daminet|Sofie Bhatti|Koen Chiers|Myriam Hesta|Dominique Paepe|Pascale Smets|Leen Van Brantegem|Isabel Van de Maele|Sophie Vandenabeele|Luc Van Ham|Ann Van Soom,inwendige ziekten|gezelschapsdieren|hond|kat,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen,participatie|vaardigheidstest
MABA,GMDIERHK,2,1,G000754,4,Gunther van Loon|Koen Chiers|Laurence Lefère|Bart Pardon|Leen Van Brantegem,inwendige ziekten|grote huisdieren,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest
MABA,GMDIERHK,2,1,G000755,4,Geert Opsomer|Peter Daels|Jan Govaere|Dominiek Maes,voortplanting|verloskunde|grote huisdieren.,periodegebonden|niet-periodegebonden,schriftelijk examen met meerkeuzevragen|participatie|gedragsevaluatie op de werkvloer,schriftelijk examen met meerkeuzevragen,participatie|vaardigheidstest|gedragsevaluatie op de werkvloer
MABA,GMDIERHK,2,1,G000756,4,Sarne De Vliegher|Piet Vanthemsche,"(beroeps)aansprakelijkheid|dierengezondheid|dierenwelzijn|epidemiologische bewaking|(gerechtelijke) expertise|gerechtelijke organisatie|handel in dieren|identificatie en registratie van dieren|orde der dierenartsen|plichtenleer|tuchtrecht|beroepsethiek|ethiek|proefdier|voedselveiligheid|zoönose|diergeneesmiddel|tariefbepaling|boekhouding|swot-analyse|businessplan|balans|resultatenrekening|btw,",periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen,
MABA,GMDIERHK,2,1,G000757,4,An Garmyn|Kris Baert|Gunther Antonissen|Tom Hellebuyck|Katleen Hermans,infectieuze en niet-infectieuze ziekten|vogels|bijzondere dieren,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|gedragsevaluatie op de werkvloer
MABA,GMDIERHK,2,1,G000758,3,Annelies Decloedt|Peter Daels|Hilde De Rooster|Jan Govaere|Geert Opsomer|Ingeborgh Polis|Stijn Schauvliege|Katrien Vanderperren|Lieven Vlaminck,klinische vaardigheden|anesthesie|chirurgie|medische beeldvorming|communicatie,niet-periodegebonden,,,participatie|vaardigheidstest
MABA,GMDIERON,1,1,G000219,5,Frank Pasmans|Chloë De Witte|Freddy Haesebrouck,bacteriële ziekten|zoönosen|huisdieren,periodegebonden,schriftelijk examen met meerkeuzevragen,schriftelijk examen met meerkeuzevragen,
MABA,GMDIERON,1,1,G000238,5,Hans Nauwynck,virale ziekten|prionziekten|zoönosen|epizoötiologie|pathogenese|immuniteit|pathology|kliniek|diagnose|vaccinatie,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERON,1,1,G000742,3,Eric Cox,immunopathologie|huisdieren|nutsdieren|overgevoeligheidsreacties|autoimmuunziekten|immunodeficiënties|immunomodulatie|transplantatie. onderzoek en valorisatie|wetenschappelijke integriteit|internationalisatie|multidisciplinariteit|maatschappelijke relevantie,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|mondeling examen,
MABA,GMDIERON,1,1,G000747,5,Mathias Devreese|Siska Croubels,farmacologie|geneesmiddelenklassen|wetgeving geneesmiddelendepot|voorschriftenleer,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,GMDIERON,1,2,G000748,4,Siska Croubels|Gunther Antonissen,giftige planten|zware metalen|milieu- en voedsel/voedercontaminanten|giftige gassen|mycotoxines|insecticiden|pesticiden|herbiciden|diverse organische en anorganische gifstoffen|giftige voedingsmiddelen,periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,
MABA,GMDIERON,1,2,G000749,5,Sarah Gabriël|Lynn Vanhaecke,chemische gevaren|keuring|controle|levensmiddelenhygiëne|levensmiddelenwetgeving|auditing|autocontrole|kwaliteitssystemen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen,participatie|werkstuk|gedragsevaluatie op de werkvloer|verslag
